,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
95,1,1,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
96,4,1,6.11512817,32.06508,53.69619,0.9916,-4.0225,15.0258,4.4279,-8.0638,2.1661,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
97,1,1,9.2302561,76.1409,113.26749,1.1163,21.4518,12.1915,9.671,-10.7852,4.18084,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
98,1,2,9.2302561,76.1409,113.26749,1.1163,21.4518,12.1915,9.671,-10.7852,4.18084,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
99,1,1,3.83577289,116.22479,192.34993,1.0034,13.0806,9.6232,3.5526,-2.6744,10.038954,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
100,1,1,4.6593257,74.14494,122.59501,1.0043,15.3015,11.7725,3.765,-4.8658,4.23883,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
101,2,3,7.46322622,18.03847,29.8851,1.0023,-4.4795,19.751,5.2166,-13.3895,0,7.46322622,-3.167281407,-4.4795,0,121.75,2.14,1.9,1.82,4.85,833.7,1595,2441,4.4,5,904,1908,165.8,39.7,0.57,0.625,126.905,0.65
102,5,1,4.88854293,60.11832,100.36914,0.9946,-3.7397,11.9263,3.9469,-4.7033,6.227586,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
103,1,1,3.64881521,201.08347,203.22022,1.6431,11.3527,7.5612,3.7915,-0.4281,21.745935,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
104,1,1,3.71113956,156.63288,195.61955,1.3296,11.524,7.7351,3.7893,-0.6155,18.471868,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
105,3,1,9.15693676,76.1409,112.79227,1.121,-7.1106,13.6842,7.1132,-9.8962,1.632,5.77081042,1.327623465,-4.7143,0.208408,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
106,1,1,9.15693676,76.1409,112.79227,1.121,-7.1106,13.6842,7.1132,-9.8962,1.632,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
107,2,1,9.15693676,76.1409,112.79227,1.121,-7.1106,13.6842,7.1132,-9.8962,1.632,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
108,3,1,9.15693676,76.1409,112.79227,1.121,-7.1106,13.6842,7.1132,-9.8962,1.632,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
109,4,1,9.15693676,76.1409,112.79227,1.121,-7.1106,13.6842,7.1132,-9.8962,1.632,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
110,1,1,8.98786868,92.14031,122.51198,1.2489,19.4887,11.7298,7.9118,-8.3344,1.961425,0,0,0,0,112.411,1.4,1.7,1.46,4.33,867.7,1631,3616,4.05,12,594,1038,100,6.4,0.93,1.81,35.453,0.99
111,2,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,5.77081042,1.327623465,-4.7143,0.208408,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
112,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
113,2,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
114,2,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
115,3,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
116,3,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
117,4,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
118,4,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
119,5,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
120,5,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
121,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,0.53,1,126.905,0.65
122,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
123,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
124,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
125,3,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
126,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,79.904,0.4
127,1,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
128,9,1,3.89237627,122.18788,174.72344,1.1613,-3.7006,8.2595,3.7117,-1.0046,13.054914,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
129,2,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
130,3,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
131,1,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,0,0,0,0,63.546,1.08,1.9,1.75,4.48,745.4,1958,3554,4.45,11,1356,2840,306.7,13,0.96,0.46,79.904,0.4
132,1,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
133,1,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
134,1,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,79.904,0.4
135,1,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,35.453,0.99
136,1,1,4.19004251,108.16126,151.54906,1.1851,-5.4535,7.4037,5.6607,-1.8492,8.683614,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
137,1,1,3.65644918,136.2145,197.64115,1.1444,11.4064,7.7513,3.6583,-0.5602,14.548818,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
138,1,1,7.9919732,124.18385,163.30016,1.2628,17.7273,9.5121,8.8442,-6.7256,9.13895,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
139,1,2,5.337111495,65.075915,79.534705,1.3572,6.2668,11.1517,5.19585,-4.83285,1.998448,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
140,1,1,3.9982081,128.21531,165.28342,1.2881,11.7016,8.0722,3.6397,-0.6347,12.88276,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
141,2,1,4.31418532,114.1887,142.24027,1.3331,-5.5163,7.1083,5.7871,-1.63,8.374982,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
142,3,1,4.31418532,114.1887,142.24027,1.3331,-5.5163,7.1083,5.7871,-1.63,8.374982,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
143,1,1,4.31418532,114.1887,142.24027,1.3331,-5.5163,7.1083,5.7871,-1.63,8.374982,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
