,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
19,3,2,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,5.77081042,1.327623465,-4.7143,0.208408,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
20,1,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,0.53,1,126.905,0.65
21,2,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,0.53,1,126.905,0.65
22,3,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,0.53,1,126.905,0.65
23,4,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,0.53,1,126.905,0.65
24,2,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
25,1,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
26,2,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
27,3,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
28,4,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
29,5,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
30,6,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
31,1,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
32,2,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
