,bandgap,n,orientation,A'_MPI,A'_AW,A'_V,A'_R,A'_Rb,A'_ρ,A'_SA,A'_EN,A'_SE,A'_BT,A'_VIP,A'_VEA,A'_ME,A'_CP,A'_Ha,A'_So,A'_EI,A'_NI,A'_DMD,A'_DM,A_MPI,A_AW,A_V,A_R,A_Rb,A_ρ,A_SA,A_EN,A_SE,A_BT,A_VIP,A_VEA,A_ME,A_CP,A_Ha,A_So,A_EI,A_NI,A_DMD,A_DM,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_EA,B_R,B_RC,B_IR,X_W,X_E(m&b,X_E(p),X_E(a&R) ,X_E,X_EI1,X_EI2,X_EI3,X_Tm,X_Tb,X_EV,X_EM,X_EA,X_R,X_RC,X_IR
0,2.09,-0.7165564052543306,-0.2845936058985837,-0.8530456818990352,3.0298102115620313,1.7562392604418546,1.4862720999868948,1.4862720995843572,2.9226715938301107,1.433054830799156,1.3209821984688805,1.6263174659661348,1.3209822000490172,1.5526168871394552,1.677056075976417,1.63363928161874,-1.63363928161874,-0.8412516759324975,0.7326191310832431,-0.9981038059345181,0.9579385826263342,0.19156787651746413,0.19156787837130035,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,-1.2965501255946492,0.01685754799317023,-1.5390925407211054,1.047064974277239,1.0821723564002297,-0.485705904832966,-0.6006339781131227,-0.8366626365389198,0.0859611095675898,-0.27008713644957505,-0.7247671184195326,1.1797678291284899,1.683585108959476,-0.03528596631498854,1.417617113768882,-1.5061991760060696,-0.9024371667955144,0.4139619245963817,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
1,2.38,-0.7165564052543306,-0.2845936058985837,-0.9126856846980074,0.6461048853137,1.5766525291024858,1.3604971884271961,1.3604971883607249,-0.8276985584337806,1.5594140128269671,1.4242797856950438,1.803668762759798,1.4242797859668797,1.675932072330419,1.6968027400851193,1.703914397073839,-1.703914397073839,-0.5062836483367683,0.30115643560873645,-0.867989950706604,0.6399260858244832,1.0619137152385152,1.0619137144071644,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
2,1.88,-0.09928191157138315,-0.2845936058985837,-0.6405008822215992,0.44735200539770226,0.35888468876826474,0.4173942984706813,0.4173942991145689,0.4943943382204429,0.2950772098543968,0.3349808143879465,0.2003738902991496,0.3349808131049444,-0.6207624097584391,-0.16005790672459502,-0.3855782703290982,0.3855782703290982,-1.471365508198476,1.8278705888262226,0.7393265514909673,0.8739400769775735,0.5325612902350289,0.5325612912005995,0.9983022649756073,0.8261921732048778,0.8838635549748228,0.9550559238167247,0.9550559238568496,0.9272866697352704,0.9170199045250187,0.09931400188875794,0.9321178077428427,-0.9906310620437923,-0.8094288686584274,-1.0167703455392612,-0.9968924368780914,0.9968924368780914,1.021495021376933,0.9135054956143149,0.9642696158080849,-1.0501111043349243,0.9874397304540673,0.9874397306521749,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
3,1.73,0.5179925821115643,-0.2845936058985837,-0.6405008822215992,0.44735200539770226,0.35888468876826474,0.4173942984706813,0.4173942991145689,0.4943943382204429,0.2950772098543968,0.3349808143879465,0.2003738902991496,0.3349808131049444,-0.6207624097584391,-0.16005790672459502,-0.3855782703290982,0.3855782703290982,-1.471365508198476,1.8278705888262226,0.7393265514909673,0.8739400769775735,0.5325612902350289,0.5325612912005995,0.9983022649756073,0.8261921732048778,0.8838635549748228,0.9550559238167247,0.9550559238568496,0.9272866697352704,0.9170199045250187,0.09931400188875794,0.9321178077428427,-0.9906310620437923,-0.8094288686584274,-1.0167703455392612,-0.9968924368780914,0.9968924368780914,1.021495021376933,0.9135054956143149,0.9642696158080849,-1.0501111043349243,0.9874397304540673,0.9874397306521749,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
4,1.66,1.1352670757945116,-0.2845936058985837,-0.6405008822215992,0.44735200539770226,0.35888468876826474,0.4173942984706813,0.4173942991145689,0.4943943382204429,0.2950772098543968,0.3349808143879465,0.2003738902991496,0.3349808131049444,-0.6207624097584391,-0.16005790672459502,-0.3855782703290982,0.3855782703290982,-1.471365508198476,1.8278705888262226,0.7393265514909673,0.8739400769775735,0.5325612902350289,0.5325612912005995,0.9983022649756073,0.8261921732048778,0.8838635549748228,0.9550559238167247,0.9550559238568496,0.9272866697352704,0.9170199045250187,0.09931400188875794,0.9321178077428427,-0.9906310620437923,-0.8094288686584274,-1.0167703455392612,-0.9968924368780914,0.9968924368780914,1.021495021376933,0.9135054956143149,0.9642696158080849,-1.0501111043349243,0.9874397304540673,0.9874397306521749,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
5,2.79,-0.7165564052543306,-0.2845936058985837,-0.6405008822215992,0.44735200539770226,0.35888468876826474,0.4173942984706813,0.4173942991145689,0.4943943382204429,0.2950772098543968,0.3349808143879465,0.2003738902991496,0.3349808131049444,-0.6207624097584391,-0.16005790672459502,-0.3855782703290982,0.3855782703290982,-1.471365508198476,1.8278705888262226,0.7393265514909673,0.8739400769775735,0.5325612902350289,0.5325612912005995,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,-0.9710735154253878,0.5507604583646145,1.1138499719100667,1.4125328115488736,1.015132204135685,1.0200329400186616,1.0666026080786204,0.8545801861274549,-1.0551253453635927,-1.072931309625968,-0.9919534460604114,-1.022656423769576,0.6095803495349046,-0.9455850295865149,-1.0485986072514193,-1.528276941379417
6,2.06,-0.7165564052543306,-0.2845936058985837,-0.6405008822215992,0.44735200539770226,0.35888468876826474,0.4173942984706813,0.4173942991145689,0.4943943382204429,0.2950772098543968,0.3349808143879465,0.2003738902991496,0.3349808131049444,-0.6207624097584391,-0.16005790672459502,-0.3855782703290982,0.3855782703290982,-1.471365508198476,1.8278705888262226,0.7393265514909673,0.8739400769775735,0.5325612902350289,0.5325612912005995,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
7,3.24,-0.7165564052543306,-0.2845936058985837,1.1010763825713783,1.2636888340640007,1.4125886889429222,1.2429671563768103,1.2429671551405075,0.45221169332299466,1.413459026739932,1.3048629419779263,1.5991542443322524,1.3048629412843427,2.0615431551774455,2.054036806463679,2.0785792386597173,-2.0785792386597173,-0.5053123746068787,0.29700775584455835,1.3502696328377566,-0.2011073635097231,-0.13996683757221445,-0.13996683459503417,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,0.5934925084765313,0.24110213990227547,0.4987799900484984,-0.4707733992874412,-0.5715882309920433,-0.2659489274399519,-0.2268541983299442,-0.026838206999042487,-0.369314396660811,-0.27008713644957505,-0.20983062107643416,-0.3419238619819293,-0.46286832112122095,-0.33171743482754745,-0.47612902721209016,0.38039774810080346,0.533714826785264,-0.09678393304124405,-0.9710735154253878,0.5507604583646145,1.1138499719100667,1.4125328115488736,1.015132204135685,1.0200329400186616,1.0666026080786204,0.8545801861274549,-1.0551253453635927,-1.072931309625968,-0.9919534460604114,-1.022656423769576,0.6095803495349046,-0.9455850295865149,-1.0485986072514193,-1.528276941379417
8,1.97,-0.7165564052543306,-0.2845936058985837,-0.8752573740596711,1.3189671631331958,1.2276510588650897,1.1072940196714085,1.1072940189886538,0.8235299753807928,1.1780162901873157,1.1090241027245609,1.279936903569109,1.1090241015618025,1.5424854446380085,1.7236115792049205,1.6531188823227956,-1.6531188823227956,-1.0393915168300072,1.0313240741040555,-0.7490440892573006,1.1537338890988424,1.693687234107955,1.6936872311431346,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,-1.2965501255946492,0.01685754799317023,-1.5390925407211054,1.047064974277239,1.0821723564002297,-0.485705904832966,-0.6006339781131227,-0.8366626365389198,0.0859611095675898,-0.27008713644957505,-0.7247671184195326,1.1797678291284899,1.683585108959476,-0.03528596631498854,1.417617113768882,-1.5061991760060696,-0.9024371667955144,0.4139619245963817,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
9,1.85,-0.7165564052543306,-0.2845936058985837,1.601673138472812,0.30816038177877025,0.6479685125047767,0.6575448143881713,0.657544815323417,-0.28043424436952286,0.4974479265864816,0.5184191712626749,0.43141692640456397,0.5184191696631983,2.6183534306584035,2.328273175260348,2.4929340661819657,-2.4929340661819657,0.3517962222820846,-0.5244308374626759,3.152353255451466,-1.7295688254112078,-0.02096644789957397,-0.020966445181567477,-1.0191667658159835,-0.9912311406358297,-1.0009534180711017,-1.0192063330943995,-1.019206333094118,-1.0165331555336758,-1.0110388974424667,-0.4382288654037143,-1.0154044353635672,1.0206260911354241,0.7596183187783779,0.9981990517544266,0.9710266400775186,-0.9710266400775186,-1.01500155362183,-1.0142256956138012,-1.0196398248078666,0.9956859523453114,-0.8920854946649235,-0.8920854947405383,-1.2965501255946492,0.01685754799317023,-1.5390925407211054,1.047064974277239,1.0821723564002297,-0.485705904832966,-0.6006339781131227,-0.8366626365389198,0.0859611095675898,-0.27008713644957505,-0.7247671184195326,1.1797678291284899,1.683585108959476,-0.03528596631498854,1.417617113768882,-1.5061991760060696,-0.9024371667955144,0.4139619245963817,0.6175470698283099,-0.5446505235771851,-0.6359515708006533,-0.6599005292413737,-0.6236227143419077,-0.6242774379072044,-0.63028074318554,-0.5999287850793225,0.628838453055983,0.6310653979860852,0.6204684838656518,0.6246261600389977,-0.5563185047291362,0.6138805261755791,0.6280072819747117,0.149622476037266
